iter	Passed	Remaining
0	8	8293
1	11	5530
2	13	4625
3	16	4123
4	19	3790
5	21	3591
6	24	3447
7	26	3324
8	32	3632
9	35	3522
10	38	3428
11	40	3349
12	43	3282
13	45	3231
14	48	3190
15	51	3146
16	53	3107
17	56	3069
18	58	3036
19	61	3010
20	64	2985
21	66	2961
22	69	2937
23	71	2914
24	74	2898
25	76	2878
26	79	2862
27	82	2846
28	84	2834
29	87	2817
30	89	2808
31	92	2794
32	94	2782
33	97	2768
34	99	2756
35	102	2746
36	105	2733
37	107	2721
38	109	2709
39	112	2699
40	114	2689
41	117	2679
42	120	2671
43	122	2662
44	125	2654
45	127	2648
46	130	2640
47	132	2632
48	135	2624
49	137	2616
50	140	2608
51	142	2601
52	145	2596
53	147	2591
54	150	2587
55	153	2582
56	155	2574
57	158	2568
58	160	2562
59	163	2555
60	166	2556
61	168	2554
62	171	2550
63	174	2547
64	176	2544
65	179	2540
66	182	2536
67	185	2537
68	188	2543
69	199	2645
70	201	2638
71	204	2630
72	206	2627
73	209	2624
74	212	2616
75	214	2609
76	217	2602
77	219	2597
78	222	2592
79	224	2586
80	227	2579
81	229	2571
82	232	2565
83	234	2560
84	237	2554
85	239	2548
86	242	2543
87	244	2537
88	247	2530
89	249	2524
90	252	2519
91	254	2514
92	257	2509
93	259	2503
94	262	2498
95	264	2492
96	267	2489
97	269	2484
98	272	2480
99	274	2474
100	277	2469
101	279	2464
102	282	2459
103	284	2454
104	287	2449
105	289	2444
106	292	2439
107	294	2434
108	297	2430
109	302	2444
110	304	2439
111	307	2435
112	309	2430
113	312	2425
114	314	2420
115	317	2415
116	319	2411
117	322	2407
118	324	2402
119	327	2398
120	329	2395
121	332	2392
122	334	2387
123	337	2383
124	339	2379
125	342	2379
126	345	2375
127	348	2373
128	350	2369
129	353	2366
130	356	2362
131	358	2359
132	361	2356
133	366	2371
134	370	2375
135	373	2371
136	376	2369
137	378	2366
138	385	2388
139	388	2385
140	391	2383
141	394	2381
142	396	2378
143	414	2465
144	422	2489
145	427	2503
146	432	2510
147	436	2512
148	440	2514
149	443	2514
150	446	2513
151	450	2510
152	452	2507
153	455	2502
154	458	2497
155	460	2492
156	463	2488
157	465	2483
158	468	2477
159	470	2472
160	473	2467
161	475	2462
162	478	2456
163	480	2451
164	483	2445
165	485	2440
166	488	2435
167	490	2430
168	493	2425
169	495	2420
170	498	2416
171	500	2411
172	503	2406
173	506	2402
174	508	2397
175	511	2392
176	513	2387
177	515	2381
178	518	2380
179	521	2376
180	524	2372
181	527	2369
182	529	2364
183	532	2361
184	535	2358
185	543	2377
186	545	2372
187	548	2367
188	550	2362
189	553	2359
190	555	2354
191	558	2349
192	560	2344
193	563	2340
194	565	2336
195	568	2331
196	570	2327
197	573	2322
198	575	2317
199	578	2312
200	580	2308
201	583	2304
202	585	2299
203	588	2295
204	590	2290
205	593	2286
206	595	2281
207	598	2277
208	600	2272
209	603	2268
210	605	2264
211	608	2260
212	610	2255
213	613	2251
214	615	2247
215	618	2243
216	620	2238
217	623	2235
218	625	2231
219	628	2227
220	630	2223
221	632	2217
222	635	2213
223	637	2209
224	640	2205
225	642	2201
226	645	2196
227	647	2192
228	650	2188
229	652	2184
230	655	2180
231	657	2176
232	659	2172
233	662	2168
234	665	2165
235	667	2161
236	670	2157
237	672	2153
238	675	2149
239	677	2145
240	679	2141
241	682	2137
242	684	2133
243	687	2129
244	689	2126
245	692	2122
246	694	2118
247	697	2116
248	700	2113
249	703	2110
250	706	2107
251	709	2106
252	712	2102
253	714	2098
254	716	2094
255	719	2090
256	721	2086
257	724	2083
258	727	2081
259	729	2077
260	732	2073
261	734	2069
262	737	2065
263	739	2062
264	742	2058
265	744	2055
266	747	2051
267	749	2047
268	751	2043
269	754	2039
270	756	2036
271	759	2032
272	761	2028
273	764	2025
274	766	2021
275	769	2017
276	771	2014
277	774	2010
278	776	2007
279	779	2003
280	781	2000
281	784	1996
282	786	1993
283	789	1989
284	791	1986
285	794	1983
286	796	1979
287	799	1977
288	802	1974
289	804	1970
290	807	1967
291	809	1963
292	812	1960
293	814	1957
294	817	1953
295	820	1950
296	822	1946
297	825	1943
298	827	1939
299	830	1936
300	832	1933
301	835	1929
302	837	1926
303	840	1923
304	842	1920
305	845	1916
306	847	1913
307	849	1909
308	852	1906
309	854	1903
310	857	1900
311	860	1896
312	862	1893
313	864	1889
314	867	1886
315	869	1882
316	872	1879
317	875	1877
318	878	1874
319	880	1871
320	883	1868
321	886	1866
322	889	1864
323	892	1861
324	894	1858
325	897	1855
326	900	1853
327	903	1851
328	906	1848
329	909	1847
330	913	1845
331	916	1843
332	919	1841
333	921	1837
334	924	1834
335	926	1830
336	928	1827
337	931	1824
338	934	1821
339	936	1818
340	938	1814
341	941	1811
342	943	1807
343	946	1804
344	948	1801
345	951	1797
346	953	1794
347	955	1791
348	958	1787
349	960	1784
350	963	1781
351	965	1778
352	968	1774
353	970	1771
354	973	1768
355	975	1765
356	978	1762
357	981	1759
358	983	1756
359	985	1752
360	988	1749
361	990	1746
362	993	1743
363	996	1740
364	998	1737
365	1001	1734
366	1003	1730
367	1005	1727
368	1008	1724
369	1010	1721
370	1013	1718
371	1015	1714
372	1018	1711
373	1020	1708
374	1023	1705
375	1025	1702
376	1028	1699
377	1031	1696
378	1033	1693
379	1036	1690
380	1038	1687
381	1041	1684
382	1043	1681
383	1046	1678
384	1048	1675
385	1051	1672
386	1054	1670
387	1057	1667
388	1059	1664
389	1062	1662
390	1065	1659
391	1068	1657
392	1073	1657
393	1076	1654
394	1078	1651
395	1080	1648
396	1083	1645
397	1086	1642
398	1088	1640
399	1091	1637
400	1094	1634
401	1096	1631
402	1099	1628
403	1102	1626
404	1105	1623
405	1107	1620
