iter	Passed	Remaining
0	2	2925
1	5	2824
2	8	2803
3	11	2772
4	13	2772
5	16	2788
6	19	2770
7	22	2772
8	25	2789
9	28	2823
10	31	2825
11	34	2834
12	37	2828
13	40	2829
14	43	2839
15	46	2833
16	49	2838
17	51	2824
18	54	2815
19	57	2807
20	60	2833
21	63	2829
22	66	2825
23	69	2824
24	73	2885
25	78	2926
26	82	2958
27	86	2996
28	90	3019
29	93	3028
30	96	3011
31	98	2993
32	101	2982
33	104	2969
34	107	2957
35	110	2946
36	112	2934
37	116	2939
38	118	2928
39	122	2929
40	124	2919
41	127	2905
42	129	2892
43	130	2844
44	133	2839
45	136	2830
46	139	2825
47	142	2817
48	144	2808
49	148	2816
50	152	2829
51	155	2827
52	157	2820
53	160	2813
54	163	2808
55	166	2799
56	168	2792
57	171	2787
58	175	2806
59	178	2800
60	181	2794
61	184	2787
62	187	2790
63	191	2799
64	194	2804
65	200	2831
66	203	2837
67	206	2830
68	209	2820
69	211	2812
70	214	2805
71	217	2800
72	220	2794
73	222	2789
74	225	2781
75	228	2776
76	231	2770
77	233	2764
78	236	2760
79	239	2755
80	242	2750
81	245	2744
82	247	2738
83	250	2733
84	254	2736
85	256	2729
86	259	2723
87	262	2718
88	265	2713
89	267	2709
90	270	2704
91	273	2699
92	276	2693
93	278	2688
94	281	2685
95	284	2680
96	287	2676
97	290	2671
98	293	2669
99	296	2667
100	299	2662
101	301	2657
102	304	2653
103	307	2648
104	310	2643
105	313	2640
106	315	2635
107	318	2630
108	321	2626
109	324	2622
110	327	2619
111	329	2615
112	332	2611
113	335	2608
114	338	2603
115	341	2599
116	343	2595
117	346	2592
118	349	2588
119	353	2595
120	357	2598
121	361	2601
122	365	2603
123	369	2607
124	371	2602
125	375	2604
126	378	2600
127	380	2595
128	383	2590
129	386	2587
130	389	2584
131	392	2582
132	395	2578
133	398	2573
134	401	2569
135	403	2564
136	407	2565
137	410	2562
138	412	2558
139	415	2554
140	418	2551
141	421	2548
142	424	2543
143	427	2540
144	430	2537
145	433	2534
146	436	2532
147	439	2528
148	441	2523
149	444	2520
150	447	2515
151	450	2511
152	453	2508
153	456	2505
154	458	2501
155	461	2497
156	464	2493
157	467	2489
158	470	2486
159	472	2482
160	476	2481
161	478	2476
162	481	2473
163	484	2471
164	488	2471
165	506	2546
166	509	2540
167	511	2535
168	514	2530
169	517	2527
170	520	2523
171	523	2518
172	525	2513
173	529	2514
174	533	2515
